goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay01Part1-16    	 1786166	       676.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1564324	       770.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1630080	       741.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1550242	       774.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1642585	       733.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1641817	       729.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1674226	       718.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1675572	       714.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1666425	       719.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-16    	 1666276	       725.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-16    	   44499	     26405 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   46059	     26637 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   44001	     26580 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   46009	     26327 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   45159	     26463 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   44151	     26545 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   45165	     26086 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   44643	     26450 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   46236	     25917 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay01Part2-16    	   47425	     26181 ns/op	   27304 B/op	       3 allocs/op
BenchmarkDay02Part1-16    	   15250	     78423 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15354	     78153 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15283	     78395 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15291	     78067 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15268	     78482 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15376	     77911 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15270	     78366 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15363	     78310 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15320	     78141 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part1-16    	   15433	     77816 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13389	     89537 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13376	     89766 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13246	     90179 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13466	     89176 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13404	     89441 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13468	     89061 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13476	     89022 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13344	     89733 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13478	     89067 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay02Part2-16    	   13332	     89788 ns/op	     472 B/op	       5 allocs/op
BenchmarkDay03Part1-16    	   10000	    116936 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9280	    118753 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	   10000	    116897 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9514	    117707 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	   10000	    117325 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9709	    117534 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9321	    117755 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9994	    117075 ns/op	   91296 B/op	    1902 allocs/op
BenchmarkDay03Part1-16    	    9709	    117758 ns/op	   91296 B/op	    1902 allocs/op
